action,price,shares,profit,reason,timestamp,balance,indicators,buy_fee,sell_fee
buy,3430.923095703125,8700,,,2025-04-09,70121120.03645019,"{'rsi': 44.02421858069898, 'macd': -33.51848813009383, 'bb_position': 0.1918290704011395, 'volume_ratio': 1.0310255540730449, 'probability': 0.9354678}",29849.03093261719,0.0
sell,3591.599853515625,8700,1336791.8433105468,Take Profit,2025-04-10,101336791.84331053,"{'rsi': 49.8077941889073, 'macd': -28.589077886424093, 'bb_position': 0.531801205256959, 'volume_ratio': 1.1612740057407798, 'probability': 0.8359443}",29849.03093261719,31246.91872558594
buy,3630.0,8300,,,2025-04-11,71177662.84331053,"{'rsi': 51.1079605065979, 'macd': -21.33794332768457, 'bb_position': 0.6178555722100229, 'volume_ratio': 0.8542866063740631, 'probability': 0.7381611}",30129.0,0.0
sell,3690.0,8300,437244.0,Take Profit,2025-04-14,101774035.84331053,"{'rsi': 53.15005019071666, 'macd': -10.627362766533679, 'bb_position': 0.7635903238441389, 'volume_ratio': 0.4993993282148171, 'probability': 0.05266723}",30129.0,30627.0
buy,3850.0,7900,,,2025-04-30,71328620.84331053,"{'rsi': 60.01800333716754, 'macd': 54.20002229948932, 'bb_position': 0.8435948956974053, 'volume_ratio': 0.777701938602908, 'probability': 0.5293508}",30415.0,0.0
sell,3880.0,7900,175933.0,Take Profit,2025-05-02,101949968.84331053,"{'rsi': 61.409958240562496, 'macd': 61.4400257220982, 'bb_position': 0.8747020187166137, 'volume_ratio': 0.7219908170472655, 'probability': 0.23537287}",30415.0,30652.0
buy,3860.0,7900,,,2025-05-05,71425474.84331053,"{'rsi': 59.912443374183695, 'macd': 64.81678024725261, 'bb_position': 0.801014092596175, 'volume_ratio': 0.7081090995283177, 'probability': 0.8377319}",30494.0,0.0
sell,3880.0,7900,96854.0,Take Profit,2025-05-06,102046822.84331053,"{'rsi': 60.938257411178824, 'macd': 68.31917447354454, 'bb_position': 0.8188846393749255, 'volume_ratio': 0.43386232685093123, 'probability': 0.6934592}",30494.0,30652.0
buy,3790.0,8000,,,2025-05-08,71696502.84331053,"{'rsi': 53.36379279930923, 'macd': 65.69181191444295, 'bb_position': 0.6164809887670314, 'volume_ratio': 1.0144148247060147, 'probability': 0.7697082}",30320.0,0.0
sell,3840.0,8000,338960.0,Take Profit,2025-05-09,102385782.84331053,"{'rsi': 56.23170473580927, 'macd': 63.45842950368751, 'bb_position': 0.7109767491105532, 'volume_ratio': 0.7030836357416052, 'probability': 0.7244395}",30320.0,30720.0
buy,4090.0,7500,,,2025-05-14,71680107.84331053,"{'rsi': 67.1194198330102, 'macd': 80.92847542684285, 'bb_position': 1.1532192899122378, 'volume_ratio': 2.1756033722808015, 'probability': 0.7590805}",30675.0,0.0
sell,4270.0,7500,1287300.0,Take Profit,2025-05-15,103673082.84331053,"{'rsi': 72.43604280107165, 'macd': 108.0525458745924, 'bb_position': 1.2389828697111203, 'volume_ratio': 2.398126382355989, 'probability': 0.36221963}",30675.0,32025.0
buy,4210.0,7300,,,2025-05-20,72909349.84331053,"{'rsi': 68.16715855900546, 'macd': 143.63849224827663, 'bb_position': 0.8909004461583122, 'volume_ratio': 0.9383011738362501, 'probability': 0.65956205}",30733.0,0.0
sell,4260.0,7300,303169.0,Take Profit,2025-05-21,103976251.84331053,"{'rsi': 69.87959292824247, 'macd': 150.50577511358142, 'bb_position': 0.9020816808779728, 'volume_ratio': 1.1126192092630758, 'probability': 0.5761332}",30733.0,31098.0
buy,4300.0,7200,,,2025-05-22,72985291.84331053,"{'rsi': 71.21372454644764, 'macd': 157.36184259934998, 'bb_position': 0.9034816903755182, 'volume_ratio': 0.885794218712776, 'probability': 0.7076338}",30960.0,0.0
sell,4350.0,7200,297720.0,Take Profit,2025-05-23,104273971.84331053,"{'rsi': 72.83354017055348, 'macd': 164.9287120813692, 'bb_position': 0.9155363153727184, 'volume_ratio': 0.46390519289142224, 'probability': 0.39195123}",30960.0,31320.0
buy,4320.0,7200,,,2025-05-26,73138867.84331053,"{'rsi': 70.27826842373409, 'macd': 166.58447920168192, 'bb_position': 0.8412244770094428, 'volume_ratio': 0.6822107652881226, 'probability': 0.8506302}",31104.0,0.0
sell,4370.0,7200,297432.0,Take Profit,2025-05-27,104571403.84331053,"{'rsi': 72.03899486195535, 'macd': 169.97193800874538, 'bb_position': 0.8590991210438585, 'volume_ratio': 0.8396996572296073, 'probability': 0.69645876}",31104.0,31464.0
